Listado de 120 Escenarios de pruebas utlizando Estrategias de generacion de datos,,,
,,,
ID Funcionalidad,ID Escenario,Escenario de prueba,Estrategia Generacion Datos
1,E01,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir Titulo y contenido en el post, Seleccionar Preview",Aleatorio
1,E02,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir solo contenido sin titulo en el post, Seleccionar Preview",Aleatorio
1,E03,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Guardar el post sin contenido ni titulo, Seleccionar Preview",Aleatorio
1,E04,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir Titulo,Escribir Contenido con mas de 100 palabras , Seleccionar Preview",Aleatorio
6,E05,"Iniciar Sesion,Seleccionar Miembro,Seleccionar Nuevo Miembro,Seleccionar y escribir en el input de email texto que con formato email,Seleccionar el boton save",Aleatorio
6,E06,"Iniciar Sesion,Seleccionar Miembro,Seleccionar Nuevo Miembro,Seleccionar y escribir en el input de email texto que no tiene formato email,Seleccionar el boton save",Aleatorio
1,E07,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,escribir titulo y contenido en formato numero, Seleccionar Preview",Aleatorio
1,E08,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,escribir titulo y contenido en formato alphanumerico, Seleccionar Preview",Aleatorio
4,E09,"Iniciar Sesion, Seleccionar Page,Seleccionar Nuevo Post,escribir titulo y contenido en texto, Seleccionar Preview",Aleatorio
4,E10,"Iniciar Sesion, Seleccionar Page,Seleccionar Nuevo Post,escribir titulo y contenido Numerico, Seleccionar Preview",Aleatorio
6,E011,"Iniciar Sesion,Seleccionar Miembro,Seleccionar Nuevo Miembro,Seleccionar y escribir en el input de email Numero que no tiene formato email,Seleccionar el boton save",Aleatorio
6,E12,"Iniciar Sesion,Seleccionar Miembro,Seleccionar Nuevo Miembro,Seleccionar y escribir en el input de email con formato email y escribir mas de 500 caracteres en el note,Seleccionar el boton save",Aleatorio
6,E13,"Iniciar Sesion,Seleccionar Miembro,Seleccionar Nuevo Miembro,Seleccionar y escribir un nombre, escribir un email, escribir label y escribir descripcion,Seleccionar el boton save",Aleatorio
1,E014,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir Titulo y contenido en el post, Seleccionar Preview",Apriori
1,E15,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir solo contenido sin titulo en el post, Seleccionar Preview",Apriori
1,E16,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Guardar el post sin contenido ni titulo, Seleccionar Preview",Apriori
1,E17,"Iniciar Sesion, Seleccionar Post,Seleccionar Nuevo Post,Escribir Titulo,Escribir Contenido con mas de 100 palabras , Seleccionar Preview",Apriori
